user_id,gender,state_group,age,output,COUNT(transactions1to30days_purchase),SUM(transactions1to30days_purchase.amount),MEAN(transactions1to30days_purchase.amount),COUNT(transactions31to60days_purchase),SUM(transactions31to60days_purchase.amount),MEAN(transactions31to60days_purchase.amount),COUNT(transactions1to30days_clabeInc),SUM(transactions1to30days_clabeInc.amount),MEAN(transactions1to30days_clabeInc.amount),COUNT(transactions31to60days_clabeInc),SUM(transactions31to60days_clabeInc.amount),MEAN(transactions31to60days_clabeInc.amount),COUNT(transactions1to30days_clabeOut),SUM(transactions1to30days_clabeOut.amount),MEAN(transactions1to30days_clabeOut.amount),COUNT(transactions31to60days_clabeOut),SUM(transactions31to60days_clabeOut.amount),MEAN(transactions31to60days_clabeOut.amount),COUNT(transactions1to30days_atm),SUM(transactions1to30days_atm.amount),MEAN(transactions1to30days_atm.amount),COUNT(transactions31to60days_atm),SUM(transactions31to60days_atm.amount),MEAN(transactions31to60days_atm.amount),MEAN(balance1to30days.current_balance),MEAN(balance31to60days.current_balance),ratioCableInOut_1to30days,ratioCableInOut_31to60days,ratioBalanceClabeIn_1to30days,ratioBalanceClabeIn_31to60days,MEAN(transactionsDaily1to30days_purchase.amount),MEAN(transactionsDaily31to60days_purchase.amount),MEAN(transactionsDaily1to30days_clabeOut.amount),MEAN(transactionsDaily31to60days_clabeOut.amount),MEAN(transactionsDaily1to30days_clabeInc.amount),MEAN(transactionsDaily31to60days_clabeInc.amount),MEAN(transactionsDaily1to30days_atm.amount),MEAN(transactionsDaily31to60days_atm.amount),disbursement_date,month
008bad4a-e16b-4e6e-b086-20550bc23799,MALE,south_mexico,49,False,8,3094.0,386.75,25,3216.0,128.625,6,5952.0,991.5,14,8976.0,641.0,8,2898.0,362.25,11,5744.0,522.5,0,0.0,0.0,0,0.0,0.0,437.25,395.5,1.333,0.786,0.073,0.044,430.5,110.75,381.25,396.0,890.0,564.5,0.0,0.0,2020-12-11,202012
0097365c-b2cb-4a5c-acb5-de3be46a8e8e,MALE,central_mexico,29,True,3,302.0,100.625,0,0.0,0.0,2,1000.0,500.0,2,511.0,255.5,6,1198.0,199.625,1,13.0,13.0,0,0.0,0.0,0,0.0,0.0,144.875,55.062,3.0,0.5,0.145,0.108,112.0,0.0,189.625,13.0,500.0,255.5,0.0,0.0,2020-12-31,202012
01a061b9-dc93-45db-8b42-3eb7ef0f5b2c,MALE,south_mexico,49,True,14,3540.0,252.75,23,3516.0,152.875,33,24336.0,737.5,23,12256.0,533.0,23,16528.0,719.0,16,4596.0,287.25,4,4588.0,1147.0,5,4316.0,863.0,759.0,708.5,0.697,0.696,0.031,0.058,311.75,148.375,713.5,323.25,793.0,564.0,1147.0,863.0,2020-12-11,202012
01fd4e8b-b332-4277-8903-6a73b77be436,MALE,south_mexico,54,True,22,1963.0,89.188,12,814.5,67.875,9,2430.0,270.0,6,4164.0,694.0,9,973.0,108.062,5,1988.0,397.5,0,0.0,0.0,2,1393.0,696.5,97.625,440.5,1.0,0.833,0.04,0.106,87.625,60.844,117.125,486.5,259.25,694.0,0.0,696.5,2020-12-11,202012
02dd280b-046c-4f2f-8351-f1ec1d481e16,MALE,pacific,34,False,2,1115.0,557.5,5,257.25,51.438,0,0.0,0.0,3,1890.0,630.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,746.0,717.5,0.0,0.0,0.0,0.38,557.5,57.625,0.0,0.0,0.0,630.0,0.0,0.0,2020-12-11,202012
034e200c-177e-47f7-ad9d-de286c764afb,MALE,pacific,21,False,1,209.0,209.0,7,1509.0,215.625,1,2580.0,2580.0,4,3056.0,764.0,3,2452.0,817.0,3,1364.0,454.75,0,0.0,0.0,0,0.0,0.0,4.012,663.5,3.0,0.75,0.002,0.217,209.0,208.0,625.5,507.0,0.0,782.0,0.0,0.0,2020-12-11,202012
0390e7c4-c3ef-43ea-ab11-3423a4700ed9,MALE,central_mexico,32,False,10,2508.0,250.75,1,200.0,200.0,5,5976.0,1195.0,1,1700.0,1700.0,4,1470.0,367.5,2,1500.0,750.0,0,0.0,0.0,0,0.0,0.0,289.5,43.094,0.8,2.0,0.048,0.025,244.875,200.0,367.5,750.0,1195.0,1700.0,0.0,0.0,2020-12-16,202012
04db48a6-ba6f-49c9-a295-77ce2c875516,MALE,central_mexico,26,False,13,1063.0,81.812,0,0.0,0.0,4,3902.0,975.5,0,0.0,0.0,2,569.0,284.5,0,0.0,0.0,4,2430.0,607.5,0,0.0,0.0,310.75,0.0,0.5,0.0,0.08,0.0,91.375,0.0,284.5,0.0,1300.0,0.0,607.5,0.0,2020-12-14,202012
04da95db-ef64-4be9-906b-260a3f0c60ff,MALE,pacific,23,True,0,0.0,0.0,1,20.0,20.0,5,1300.0,260.0,5,4304.0,861.0,7,1325.0,189.25,1,36.594,36.594,0,0.0,0.0,1,4216.0,4216.0,267.25,156.125,1.4,0.2,0.206,0.036,0.0,20.0,175.0,36.594,260.0,718.0,0.0,4216.0,2020-12-14,202012
006380ce-9682-441d-ba4c-af3c749e136c,MALE,central_mexico,27,True,3,369.0,123.0,0,0.0,0.0,6,3760.0,626.5,0,0.0,0.0,6,2190.0,365.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,352.75,0.0,1.0,0.0,0.094,0.0,177.25,0.0,382.0,0.0,626.5,0.0,0.0,0.0,2020-12-14,202012
